"Name";"MachineID";"SerialNumber";"MACAddress";"DeviceOS";"DeviceOSBuild";"IsActive";"ClientVersion";"ClientActiveStatus";"ClientRemediationSuccess";"IsVirtualMachine";"ADSiteName";"LastSuccessSyncTimeUTC";"LastStatusMessage";"LastMPServerName";"LastPolicyRequest";"LastDDR";"LastHardwareScan";"LastSoftwareScan";"LastActiveTime";"LastClientCheckTime";"ClientCheckPass";"OperatingSystem";"LastLogon";"whenCreated"
"LP682";"16778015";"BRGSQ93";"00:05:9A:3C:7A:00, 1C:99:57:08:C4:5B";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"13.02.2024 12:21:15";"13.02.2024 07:52:10";"13.02.2024 11:28:43";"13.02.2024 08:26:10";"13.02.2024 12:21:15";"21.11.2023 07:05:49";"1";"Windows 10 Pro";"05.02.2024 07:06:44";"18.06.2021 11:57:53"
"PC504";"16777422";"66Y88C2";"64:00:6A:8A:51:20";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"1";"False";"Varazdin";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"13.02.2024 13:00:13";"13.02.2024 10:37:22";"12.02.2024 21:53:15";"13.02.2024 11:27:25";"13.02.2024 13:00:13";"12.02.2024 22:00:54";"1";"Windows 10 Pro";"07.02.2024 13:57:37";"02.11.2017 15:07:19"
"PC516";"16777240";"67F58C2";"64:00:6A:8A:57:5B";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Varazdin";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"12.02.2024 10:02:54";"12.02.2024 07:37:50";"11.02.2024 19:37:44";"12.02.2024 08:00:37";"12.02.2024 10:02:54";"03.02.2024 05:01:56";"1";"Windows 10 Pro";"08.02.2024 11:55:47";"12.05.2016 15:54:25"
"LP571";"16778105";"BCHF533";"4C:1D:96:3A:40:7B";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3693";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"16.02.2024 09:06:08";"16.02.2024 06:58:28";"22.01.2024 12:26:35";"22.01.2024 11:26:35";"16.02.2024 09:06:08";"16.11.2023 10:53:14";"1";"Windows 10 Pro";"09.02.2024 09:11:42";"02.04.2020 18:19:25"
"PC469";"16778018";"HGJLS42";"98:90:96:B2:33:AA";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"16.02.2024 06:56:22";"16.02.2024 01:29:22";"16.02.2024 04:11:00";"16.02.2024 01:37:46";"16.02.2024 06:56:22";"15.02.2024 06:07:07";"1";"Windows 10 Pro";"12.02.2024 20:27:17";"12.02.2015 10:00:02"
"PC721";"16780074";"7T8BLV2";"B8:85:84:C4:C7:F3";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"13.02.2024 06:29:44";"12.02.2024 13:44:11";"12.02.2024 16:42:00";"12.02.2024 13:40:54";"13.02.2024 06:29:44";"24.01.2024 11:54:59";"1";"Windows 10 Pro";"13.02.2024 02:59:08";"23.01.2024 12:44:00"
"PC363";"16777356";"1TC6D5J";"18:03:73:1D:F4:CC";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Voelkermarkt";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"15.02.2024 07:26:53";"15.02.2024 05:54:07";"14.02.2024 06:11:00";"08.02.2024 09:18:00";"15.02.2024 07:26:53";"20.11.2023 06:46:22";"1";"Windows 10 Pro";"15.02.2024 06:38:35";"16.07.2012 14:12:22"
"LP205";"16777341";"7TV1YW1";"3C:A9:F4:03:BA:B0";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"15.02.2024 12:11:03";"15.02.2024 12:01:22";"01.02.2024 12:43:15";"01.02.2024 12:31:22";"15.02.2024 12:11:03";"18.01.2024 05:35:42";"1";"Windows 10 Pro";"15.02.2024 12:57:36";"25.03.2013 08:53:40"
"PC1440";"16780126";"FWV5B04";"20:88:10:6F:9F:88";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Trnovec";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"16.02.2024 11:34:17";"16.02.2024 09:40:21";"15.02.2024 15:00:21";"15.02.2024 14:40:50";"16.02.2024 11:34:17";"";"3";"Windows 10 Pro";"15.02.2024 13:16:53";"15.02.2024 13:16:53"
"LP304";"16777309";"6LK0J72";"F8:CA:B8:3D:9E:EE";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Varazdin";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"21.02.2024 11:04:30";"21.02.2024 10:33:39";"21.02.2024 09:25:39";"21.02.2024 08:25:32";"21.02.2024 11:04:30";"21.11.2023 06:22:20";"1";"Windows 10 Pro";"19.02.2024 05:55:40";"08.02.2016 08:22:18"
"LP314";"16778380";"64GQL72";"30:52:CB:EA:C7:65";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"22.02.2024 13:19:42";"22.02.2024 13:14:00";"22.02.2024 08:08:17";"22.02.2024 08:34:54";"22.02.2024 13:19:42";"05.02.2024 06:13:29";"1";"Windows 10 Pro";"19.02.2024 08:09:04";"03.03.2016 08:27:56"
"LP456";"16777644";"9LX85M2";"E4:70:B8:E2:F6:FD";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3693";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"21.02.2024 13:10:34";"21.02.2024 07:44:35";"21.02.2024 07:40:31";"13.12.2023 10:17:07";"21.02.2024 13:10:34";"21.11.2023 10:11:56";"1";"Windows 10 Pro";"20.02.2024 08:06:52";"11.01.2018 14:16:16"
"PC651";"16780049";"FSGZZR2";"DC:EF:09:E2:09:54";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"";"atklsccm.kostweingroup.intern";"22.02.2024 06:48:25";"21.02.2024 09:48:41";"21.02.2024 11:46:24";"21.02.2024 12:16:38";"22.02.2024 06:48:25";"12.02.2024 04:57:45";"1";"Windows 10 Pro";"22.02.2024 06:08:51";"15.10.2018 14:37:44"
"PC750";"16777643";"CFBRQX2";"00:4E:01:9D:3E:3B";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4046";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"27.02.2024 06:18:41";"26.02.2024 10:43:21";"27.02.2024 06:22:53";"26.02.2024 22:16:27";"27.02.2024 06:22:53";"26.01.2024 18:44:23";"1";"Windows 10 Pro";"22.02.2024 22:35:59";"05.07.2019 12:09:42"
"PC1415";"16779916";"6ST02Z3";"6C:3C:8C:44:02:5A";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4046";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"04.03.2024 10:13:16";"04.03.2024 10:09:13";"04.03.2024 09:30:24";"03.03.2024 20:52:03";"04.03.2024 10:13:16";"02.02.2024 02:59:55";"1";"Windows 10 Pro";"25.02.2024 00:57:09";"23.10.2023 13:13:43"
