"Name";"MachineID";"SerialNumber";"MACAddress";"DeviceOS";"DeviceOSBuild";"IsActive";"ClientVersion";"ClientActiveStatus";"ClientRemediationSuccess";"IsVirtualMachine";"ADSiteName";"LastSuccessSyncTimeUTC";"LastStatusMessage";"LastMPServerName";"LastPolicyRequest";"LastDDR";"LastHardwareScan";"LastSoftwareScan";"LastActiveTime";"LastClientCheckTime";"ClientCheckPass";"OperatingSystem";"LastLogon";"whenCreated"
"PC1440";"16780126";"FWV5B04";"20:88:10:6F:9F:88";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Trnovec";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"16.02.2024 11:34:17";"16.02.2024 09:40:21";"15.02.2024 15:00:21";"15.02.2024 14:40:50";"16.02.2024 11:34:17";"";"3";"Windows 10 Pro";"15.02.2024 13:16:53";"15.02.2024 13:16:53"
"LP1139";"16780210";"D63JMX3";"90:09:DF:96:77:10";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4170";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"16.04.2024 08:15:20";"ATKLSCCM.KOSTWEINGROUP.INTERN";"16.04.2024 12:10:18";"16.04.2024 06:14:22";"15.04.2024 14:18:57";"15.04.2024 14:12:03";"16.04.2024 12:10:18";"";"3";"Windows 10 Pro";"15.04.2024 13:55:48";"15.04.2024 13:55:48"
"LP1113";"16780215";"493JMX3";"4C:D7:17:70:D2:F4";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4170";"1";"5.00.9122.1000";"0";"";"False";"Varazdin";"";"22.04.2024 05:04:48";"ATKLSCCM.KOSTWEINGROUP.INTERN";"22.04.2024 05:02:18";"22.04.2024 05:04:21";"19.04.2024 07:41:54";"";"22.04.2024 05:04:48";"";"3";"Windows 10 Pro";"19.04.2024 08:14:30";"19.04.2024 08:14:29"
"PC791";"16780222";"";"";"Microsoft Windows NT Workstation 10.0";"";"1";"5.00.9122.1000";"0";"";"";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"24.04.2024 09:34:40";"24.04.2024 08:54:08";"";"";"24.04.2024 09:34:40";"";"3";"Windows 10 Pro";"24.04.2024 08:47:00";"10.01.2020 08:36:05"
"PC1467";"16780251";"8TV5B04";"20:88:10:6F:D0:E7";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4291";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"08.05.2024 07:11:29";"ATKLSCCM.KOSTWEINGROUP.INTERN";"08.05.2024 07:50:28";"08.05.2024 07:45:30";"07.05.2024 14:07:39";"07.05.2024 14:07:29";"08.05.2024 07:50:28";"";"3";"Windows 10 Pro";"07.05.2024 14:01:53";"07.05.2024 14:01:52"
"PC1466";"16780252";"6VV5B04";"20:88:10:6F:CD:E4";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4291";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"08.05.2024 06:04:24";"ATKLSCCM.KOSTWEINGROUP.INTERN";"08.05.2024 07:10:34";"08.05.2024 06:49:37";"07.05.2024 14:41:26";"07.05.2024 14:09:27";"08.05.2024 07:10:34";"";"3";"Windows 10 Pro";"07.05.2024 14:05:47";"07.05.2024 14:05:47"
"TAB036";"16780271";"";"10:51:07:3A:62:54";"Microsoft Windows NT Workstation 10.0 (Tablet Edition)";"10.0.19045.3930";"1";"5.00.9122.1000";"1";"";"False";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"15.05.2024 13:36:48";"";"";"";"15.05.2024 13:36:48";"";"3";"Windows 10 Pro";"15.05.2024 14:21:43";"22.11.2022 10:40:33"
