"Name";"MachineID";"SerialNumber";"MACAddress";"DeviceOS";"DeviceOSBuild";"IsActive";"ClientVersion";"ClientActiveStatus";"ClientRemediationSuccess";"IsVirtualMachine";"ADSiteName";"LastSuccessSyncTimeUTC";"LastStatusMessage";"LastMPServerName";"LastPolicyRequest";"LastDDR";"LastHardwareScan";"LastSoftwareScan";"LastActiveTime";"LastClientCheckTime";"ClientCheckPass";"OperatingSystem";"LastLogon";"whenCreated"
"LP1139";"16780210";"D63JMX3";"90:09:DF:96:77:10";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4170";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"16.04.2024 12:10:18";"16.04.2024 06:14:22";"15.04.2024 14:18:57";"15.04.2024 14:12:03";"16.04.2024 12:10:18";"";"3";"Windows 10 Pro";"15.04.2024 13:55:48";"15.04.2024 13:55:48"
"LP1113";"16780215";"493JMX3";"4C:D7:17:70:D2:F4";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4170";"1";"5.00.9122.1000";"0";"";"False";"Varazdin";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"22.04.2024 05:02:18";"22.04.2024 05:04:21";"19.04.2024 07:41:54";"";"22.04.2024 05:04:21";"";"3";"Windows 10 Pro";"19.04.2024 08:14:30";"19.04.2024 08:14:29"
"PC1471";"16780282";"";"20:88:10:6F:CE:A1";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4412";"1";"5.00.9122.1000";"1";"";"False";"Maschinenbau";"";"";"atklsccm.kostweingroup.intern";"23.05.2024 17:32:30";"";"";"";"23.05.2024 17:32:30";"";"3";"Windows 10 Pro";"23.05.2024 12:59:53";"23.05.2024 12:59:52"
