"Name";"MachineID";"SerialNumber";"MACAddress";"DeviceOS";"DeviceOSBuild";"IsActive";"ClientVersion";"ClientActiveStatus";"ClientRemediationSuccess";"IsVirtualMachine";"ADSiteName";"LastSuccessSyncTimeUTC";"LastStatusMessage";"LastMPServerName";"LastPolicyRequest";"LastDDR";"LastHardwareScan";"LastSoftwareScan";"LastActiveTime";"LastClientCheckTime";"ClientCheckPass";"OperatingSystem";"LastLogon";"whenCreated"
"PC363";"16777356";"1TC6D5J";"18:03:73:1D:F4:CC";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Voelkermarkt";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"15.02.2024 07:26:53";"15.02.2024 05:54:07";"14.02.2024 06:11:00";"08.02.2024 09:18:00";"15.02.2024 07:26:53";"20.11.2023 06:46:22";"1";"Windows 10 Pro";"15.02.2024 06:38:35";"16.07.2012 14:12:22"
"LP205";"16777341";"7TV1YW1";"3C:A9:F4:03:BA:B0";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"15.02.2024 12:11:03";"15.02.2024 12:01:22";"01.02.2024 12:43:15";"01.02.2024 12:31:22";"15.02.2024 12:11:03";"18.01.2024 05:35:42";"1";"Windows 10 Pro";"15.02.2024 12:57:36";"25.03.2013 08:53:40"
"PC628";"2097156264";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"Maschinenbau";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"03.03.2024 22:24:49";"20.09.2018 10:34:39"
"TAB029";"2097156367";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"08.04.2024 12:15:18";"24.05.2022 10:28:00"
"PC868";"2097156334";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"Varazdin";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"21.04.2024 03:36:21";"02.09.2020 16:03:43"
"AZEU-IMENDO-01";"2097156347";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 11 Enterprise multi-session";"06.05.2024 10:25:06";"18.04.2024 14:59:15"
"AZEU-CEIS-01";"2097156344";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 11 Pro";"07.05.2024 15:01:53";"17.04.2024 15:30:31"
"AZEU-RP-01";"2097156343";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 11 Enterprise multi-session";"13.05.2024 15:51:31";"17.04.2024 15:02:46"
"LP940";"2097155667";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"Maschinenbau";"";"";"";"";"";"";"";"";"";"";"Windows 10 Pro";"15.05.2024 10:05:44";"13.12.2022 15:16:10"
"AZEU-AMS-ID-01";"2097156348";"";"";"Microsoft Windows NT Workstation 10.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Windows 11 Enterprise";"16.05.2024 08:37:57";"18.04.2024 15:54:10"
