"Name";"MachineID";"SerialNumber";"MACAddress";"DeviceOS";"DeviceOSBuild";"IsActive";"ClientVersion";"ClientActiveStatus";"ClientRemediationSuccess";"IsVirtualMachine";"ADSiteName";"LastSuccessSyncTimeUTC";"LastStatusMessage";"LastMPServerName";"LastPolicyRequest";"LastDDR";"LastHardwareScan";"LastSoftwareScan";"LastActiveTime";"LastClientCheckTime";"ClientCheckPass";"OperatingSystem";"LastLogon";"whenCreated"
"PC1440";"16780126";"FWV5B04";"20:88:10:6F:9F:88";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Trnovec";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"16.02.2024 11:34:17";"16.02.2024 09:40:21";"15.02.2024 15:00:21";"15.02.2024 14:40:50";"16.02.2024 11:34:17";"";"3";"Windows 10 Pro";"15.02.2024 13:16:53";"15.02.2024 13:16:53"
"LP1139";"16780210";"D63JMX3";"90:09:DF:96:77:10";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4170";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"16.04.2024 08:15:20";"ATKLSCCM.KOSTWEINGROUP.INTERN";"16.04.2024 12:10:18";"16.04.2024 06:14:22";"15.04.2024 14:18:57";"15.04.2024 14:12:03";"16.04.2024 12:10:18";"";"3";"Windows 10 Pro";"15.04.2024 13:55:48";"15.04.2024 13:55:48"
"LP1113";"16780215";"493JMX3";"4C:D7:17:70:D2:F4";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4170";"1";"5.00.9122.1000";"0";"";"False";"Varazdin";"";"22.04.2024 05:04:48";"ATKLSCCM.KOSTWEINGROUP.INTERN";"22.04.2024 05:02:18";"22.04.2024 05:04:21";"19.04.2024 07:41:54";"";"22.04.2024 05:04:48";"";"3";"Windows 10 Pro";"19.04.2024 08:14:30";"19.04.2024 08:14:29"
"PC791";"16780222";"";"";"Microsoft Windows NT Workstation 10.0";"";"1";"5.00.9122.1000";"0";"";"";"Maschinenbau";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"24.04.2024 09:34:40";"24.04.2024 08:54:08";"";"";"24.04.2024 09:34:40";"";"3";"Windows 10 Pro";"24.04.2024 08:47:00";"10.01.2020 08:36:05"
"PC1213";"16780240";"";"";"Microsoft Windows NT Workstation 10.0";"";"1";"5.00.9122.1000";"1";"";"";"Maschinenbau";"";"06.05.2024 07:20:02";"ATKLSCCM.KOSTWEINGROUP.INTERN";"07.05.2024 06:05:01";"04.05.2024 00:29:39";"";"";"07.05.2024 06:05:01";"";"3";"Windows 10 Pro";"01.05.2024 23:51:00";"30.11.2022 16:24:02"
"PC823";"16780243";"85H7833";"F0:D4:E2:ED:81:7E";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4170";"1";"5.00.9122.1000";"1";"";"False";"Varazdin";"";"06.05.2024 11:23:09";"ATKLSCCM.KOSTWEINGROUP.INTERN";"07.05.2024 04:43:04";"06.05.2024 11:50:43";"06.05.2024 11:35:33";"06.05.2024 09:09:51";"07.05.2024 04:43:04";"";"3";"Windows 10 Pro";"06.05.2024 08:15:01";"06.05.2024 08:15:01"
"PC674";"16780248";"";"";"Microsoft Windows NT Workstation 10.0";"";"1";"5.00.9122.1000";"1";"";"";"Maschinenbau";"";"";"";"";"07.05.2024 05:22:55";"";"";"07.05.2024 05:22:55";"";"3";"Windows 10 Pro";"07.05.2024 05:16:05";"06.12.2018 10:01:30"
