"Name";"MachineID";"SerialNumber";"MACAddress";"DeviceOS";"DeviceOSBuild";"IsActive";"ClientVersion";"ClientActiveStatus";"ClientRemediationSuccess";"IsVirtualMachine";"ADSiteName";"LastSuccessSyncTimeUTC";"LastStatusMessage";"LastMPServerName";"LastPolicyRequest";"LastDDR";"LastHardwareScan";"LastSoftwareScan";"LastActiveTime";"LastClientCheckTime";"ClientCheckPass";"OperatingSystem";"LastLogon";"whenCreated"
"PC1440";"16780126";"FWV5B04";"20:88:10:6F:9F:88";"Microsoft Windows NT Workstation 10.0";"10.0.19045.3930";"1";"5.00.9122.1000";"0";"";"False";"Trnovec";"";"";"ATKLSCCM.KOSTWEINGROUP.INTERN";"16.02.2024 11:34:17";"16.02.2024 09:40:21";"15.02.2024 15:00:21";"15.02.2024 14:40:50";"16.02.2024 11:34:17";"";"3";"Windows 10 Pro";"15.02.2024 13:16:53";"15.02.2024 13:16:53"
"LP1139";"16780210";"D63JMX3";"90:09:DF:96:77:10";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4170";"1";"5.00.9122.1000";"0";"";"False";"Maschinenbau";"";"16.04.2024 08:15:20";"ATKLSCCM.KOSTWEINGROUP.INTERN";"16.04.2024 12:10:18";"16.04.2024 06:14:22";"15.04.2024 14:18:57";"15.04.2024 14:12:03";"16.04.2024 12:10:18";"";"3";"Windows 10 Pro";"15.04.2024 13:55:48";"15.04.2024 13:55:48"
"LP1113";"16780215";"493JMX3";"4C:D7:17:70:D2:F4";"Microsoft Windows NT Workstation 10.0";"10.0.19045.4170";"1";"5.00.9122.1000";"0";"";"False";"Varazdin";"";"22.04.2024 05:04:48";"ATKLSCCM.KOSTWEINGROUP.INTERN";"22.04.2024 05:02:18";"22.04.2024 05:04:21";"19.04.2024 07:41:54";"";"22.04.2024 05:04:48";"";"3";"Windows 10 Pro";"19.04.2024 08:14:30";"19.04.2024 08:14:29"
